movie_title,language,genres,num_user_for_reviews,num_critic_for_reviews,cast_total_facebook_likes,color,country,facenumber_in_poster,content_rating,budget,title_year,duration,num_voted_users,imdb_score,aspect_ratio,actor_2_facebook_likes,movie_facebook_likes,actor_3_facebook_likes,director_facebook_likes,actor_1_facebook_likes
Pirates of the Caribbean: On Stranger Tides,English,Action|Adventure|Fantasy,494,453,71768,Color,USA,4,PG-13,250000000,2011,136,396551,6.7,2.35,11000,58000,5300,280,40000
The Fate of the Furious,English,Action|Adventure|Crime|Thriller,325,338,91166,Color,USA,5,PG-13,250000000,2017,136,80838,7.1,2.35,14000,26000,13000,497,26000
Superman Returns,English,Action|Adventure|Sci-Fi,2373,432,41559,Color,USA,0,PG-13,209000000,2006,154,246929,6.1,2.35,10000,4000,4300,2300,18000
Quantum of Solace,English,Action|Adventure|Thriller,1244,404,26243,Color,UK,1,PG-13,200000000,2008,106,348046,6.6,2.35,7100,6100,3300,410,8500
Pirates of the Caribbean: Dead Man's Chest,English,Action|Adventure|Fantasy,1841,318,70374,Color,USA,2,PG-13,225000000,2006,151,553852,7.3,2.35,7700,5300,5000,575,40000
The Avengers,English,Action|Sci-Fi,1735,710,130096,Color,USA,3,PG-13,220000000,2012,143,1046475,8.1,1.85,21000,123000,19000,5300,26000
The Chronicles of Narnia: Prince Caspian,English,Action|Adventure|Family|Fantasy,442,258,33913,Color,USA,4,PG,225000000,2008,150,159565,6.6,2.35,3200,2900,2600,83,22000
Man of Steel,English,Action|Adventure|Fantasy|Sci-Fi,2562,740,52361,Color,USA,0,PG-13,225000000,2013,143,577570,7.1,2.35,9800,118000,7400,2200,15000
The Amazing Spider-Man,English,Action|Adventure,1232,609,38859,Color,USA,0,PG-13,230000000,2012,136,474717,7,2.35,10000,56000,3900,468,15000
Jurassic World,English,Action|Adventure|Sci-Fi,1323,660,29025,Color,USA,0,PG-13,150000000,2015,124,455724,7,2,4900,151000,3100,373,5500
Transformers: Revenge of the Fallen,English,Action|Adventure|Sci-Fi,1448,371,30879,Color,USA,1,PG-13,200000000,2009,150,335981,6,2.35,7500,6400,6800,2200,7500
Men in Black 3,English,Action|Adventure|Comedy|Family|Sci-Fi,347,450,31733,Color,USA,1,PG-13,225000000,2012,106,278545,6.8,1.85,7900,40000,3000,196,10000
Transformers: Age of Extinction,English,Action|Adventure|Sci-Fi,939,384,22215,Color,USA,2,PG-13,210000000,2014,165,255713,5.7,2.35,4800,56000,1600,2200,8900
X-Men: The Last Stand,English,Action|Adventure|Fantasy|Sci-Fi|Thriller,1921,334,61253,Color,Canada,0,PG-13,210000000,2006,104,407012,6.7,2.35,7100,4400,6300,486,20000
Robin Hood,English,Adventure,1,1,13611,Color,USA,,,,2018,,,,,2900,292,2200,113,6200
Battleship,English,Action|Adventure|Sci-Fi|Thriller,764,379,39165,Color,USA,0,PG-13,209000000,2012,131,210495,5.8,2.35,11000,44000,5600,604,14000
The Golden Compass,English,Adventure|Family|Fantasy,671,252,61154,Color,UK,2,PG-13,180000000,2007,113,155174,6.1,2.35,8500,3500,6300,130,16000
King Kong,English,Action|Adventure|Drama|Romance,2631,446,26901,Color,New Zealand,1,PG-13,207000000,2005,187,334622,7.2,2.35,5100,4200,3900,7900,6000
Titanic,English,Drama|Romance,2556,317,65160,Color,USA,0,PG-13,200000000,1997,194,844303,7.7,2.35,14000,27000,13000,7000,29000
Finding Dory,English,Adventure|Animation|Comedy|Family,348,527,26820,Color,USA,0,PG,200000000,2016,97,157904,7.4,1.85,4000,63000,3000,477,8500
Rogue One,English,Action|Adventure|Sci-Fi,1262,628,25282,Color,USA,5,PG-13,200000000,2016,133,325820,7.9,2.35,4700,103000,2900,436,7100
Toy Story 3,English,Adventure|Animation|Comedy|Family|Fantasy,742,457,33961,Color,USA,1,G,200000000,2010,103,587361,8.3,1.85,7300,30000,3300,125,15000
Iron Man 3,English,Action|Adventure|Sci-Fi,1201,614,60378,Color,China,3,PG-13,200000000,2013,130,591646,7.2,2.35,5500,95000,4800,1100,21000
Spider-Man 2,English,Action|Adventure,1311,298,53921,Color,USA,1,PG-13,200000000,2004,127,439377,7.3,2.35,11000,3300,4100,1300,24000
Alice in Wonderland,English,Adventure|Family|Fantasy,745,455,96109,Color,USA,0,PG,200000000,2010,108,325210,6.5,1.85,25000,25000,11000,13000,40000
Skyfall,English,Action|Adventure|Thriller,1509,759,38631,Color,UK,1,PG-13,200000000,2012,143,547821,7.8,2.35,8500,80000,8400,2200,8700
Monsters University,English,Adventure|Animation|Comedy|Family|Fantasy,273,382,33789,Color,USA,1,G,200000000,2013,104,252342,7.3,1.85,6200,44000,3300,37,12000
Oz the Great and Powerful,English,Adventure|Family|Fantasy,518,531,90820,Color,USA,4,PG,215000000,2013,130,181611,6.3,2.35,15000,60000,11000,1300,44000
X-Men: Days of Future Past,English,Action|Adventure|Sci-Fi|Thriller,764,545,128681,Color,USA,4,PG-13,200000000,2014,132,553089,8,2.35,22000,83000,20000,2300,34000
The Amazing Spider-Man 2,English,Action|Adventure|Sci-Fi,1076,510,45073,Color,USA,0,PG-13,200000000,2014,142,342563,6.7,2.35,10000,41000,3900,468,15000
Cars 2,English,Adventure|Animation|Comedy|Family|Sport,289,307,16943,Color,USA,0,G,200000000,2011,106,110695,6.2,2.35,3500,10000,1700,509,5700
TRON: Legacy,English,Action|Adventure|Sci-Fi,671,469,34168,Color,USA,0,PG,170000000,2010,125,274130,6.8,2.35,10000,30000,4800,368,12000
2012,English,Action|Adventure|Sci-Fi,1059,369,24885,Color,USA,0,PG-13,200000000,2009,158,298244,5.8,2.35,5100,14000,3600,788,5600
Terminator Salvation,English,Action|Adventure|Drama|Sci-Fi|Thriller,985,427,49584,Color,USA,0,PG-13,200000000,2009,115,297300,6.6,2.35,7700,6700,6100,379,23000
Green Lantern,English,Action|Adventure|Sci-Fi,555,438,34873,Color,USA,2,PG-13,200000000,2011,114,232069,5.6,2.35,5900,24000,4600,267,16000
Transformers: Dark of the Moon,English,Action|Adventure|Sci-Fi,904,432,51753,Color,USA,2,PG-13,195000000,2011,154,338572,6.3,2.35,7500,46000,6800,2200,8800
Prince of Persia: The Sands of Time,English,Action|Adventure|Fantasy|Romance,463,306,28980,Color,USA,2,PG-13,200000000,2010,116,233347,6.6,2.35,7100,23000,3500,183,15000
Jack the Giant Slayer,English,Adventure|Fantasy,208,341,38535,Color,USA,1,PG-13,195000000,2013,114,111781,6.3,2.35,7600,22000,6400,2300,10000
Star Trek Into Darkness,English,Action|Adventure|Sci-Fi,1189,597,64673,Color,USA,0,PG-13,190000000,2013,132,417943,7.8,2.35,8200,92000,6700,14000,19000
Furious 7,English,Action|Crime|Thriller,678,435,115756,Color,USA,0,PG-13,190000000,2015,137,301737,7.2,2.35,23000,95000,14000,2500,26000
The Great Gatsby,English,Drama|Romance,780,494,38279,Color,Australia,4,PG-13,105000000,2013,143,386499,7.3,2.35,2800,115000,2100,1000,29000
A Christmas Carol,English,Animation|Drama|Family|Fantasy,257,241,60259,Color,USA,0,PG,200000000,2009,96,79316,6.8,2.35,14000,8300,10000,1400,18000
World War Z,English,Action|Adventure|Horror|Sci-Fi|Thriller,1005,657,37975,Color,USA,0,PG-13,190000000,2013,116,495343,7,2.35,12000,129000,2400,410,17000
Pacific Rim,English,Action|Adventure|Sci-Fi,1123,581,40923,Color,USA,0,PG-13,190000000,2013,131,400859,7,1.85,8500,83000,5800,7300,16000
The Good Dinosaur,English,Adventure|Animation|Comedy|Drama|Family|Fantasy,376,313,17219,Color,USA,1,PG,200000000,2015,93,77392,6.8,2.35,3400,21000,2500,112,6200
Iron Man,English,Action|Adventure|Sci-Fi,1070,486,56309,Color,USA,3,PG-13,140000000,2008,126,738512,7.9,2.35,12000,11000,4800,4100,21000
The Dark Knight,English,Action|Crime|Drama|Thriller,4896,652,89135,Color,USA,0,PG-13,185000000,2008,152,1793718,9,2.35,13000,41000,11000,22000,23000
Indiana Jones and the Kingdom of the Crystal Skull,English,Action|Adventure|Fantasy,2070,474,35711,Color,USA,2,PG-13,185000000,2008,122,351660,6.2,2.35,7500,5400,6900,14000,11000
Kong: Skull Island,English,Action|Adventure|Fantasy|Sci-Fi,508,452,27877,Color,USA,0,PG-13,185000000,2017,118,94258,6.9,2.35,7500,25000,3300,66,8600
Brave,English,Adventure|Animation|Comedy|Family|Fantasy,436,492,12631,Color,USA,0,PG,185000000,2012,93,294319,7.2,2.35,2300,40000,2100,55,2600
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",English,Adventure|Family|Fantasy,1473,285,23523,Color,USA,5,PG,180000000,2005,143,304441,6.9,2.35,3800,6100,3300,83,9700
Star Trek Beyond,English,Action|Adventure|Sci-Fi|Thriller,695,432,51062,Color,USA,4,PG-13,185000000,2016,122,165238,7.1,2.35,8200,42000,6700,691,8500
Maleficent,English,Action|Adventure|Family|Fantasy|Romance,648,410,23425,Color,USA,1,PG,180000000,2014,97,269191,7,2.35,3900,89000,2100,172,11000
Fantastic Beasts and Where to Find Them,English,Adventure|Family|Fantasy,546,400,24248,Color,UK,4,PG-13,180000000,2016,133,234169,7.4,2.35,6400,71000,3100,316,13000
WALL,English,Adventure|Animation|Family|Sci-Fi,1054,425,10041,Color,USA,0,G,180000000,2008,98,777858,8.4,2.35,1700,17000,1300,477,4000
Rush Hour 3,English,Action|Comedy|Crime|Thriller,221,162,14559,Color,USA,2,PG-13,140000000,2007,91,127518,6.2,2.35,2800,1800,2400,486,6700
The Legend of Tarzan,English,Action|Adventure|Drama|Romance,404,298,34408,Color,UK,2,PG-13,180000000,2016,110,118449,6.3,2.35,11000,38000,7500,316,11000
Valerian and the City of a Thousand Planets,English,Action|Adventure|Sci-Fi,,,22037,Color,France,3,PG-13,197000000,2017,137,,,2.35,3400,4600,3300,1800,7200
Hugo,English,Adventure|Drama|Family|Fantasy|Mystery|Romance,692,687,58297,Color,USA,0,PG,150000000,2011,126,259398,7.5,1.85,16000,43000,6100,17000,17000
Jupiter Ascending,English,Action|Adventure|Sci-Fi,752,395,57351,Color,USA,1,PG-13,176000000,2015,127,150271,5.3,2.35,15000,45000,13000,1100,17000
X-Men: Apocalypse,English,Action|Adventure|Sci-Fi,727,450,82233,Color,USA,7,PG-13,178000000,2016,144,276945,7.1,2.35,13000,61000,9700,2300,34000
Edge of Tomorrow,English,Action|Adventure|Sci-Fi,770,595,34128,Color,USA,1,PG-13,178000000,2014,113,472535,7.9,2.35,11000,78000,5700,222,13000
The Jungle Book,English,Adventure|Drama|Family|Fantasy,483,418,56805,Color,UK,0,PG,175000000,2016,106,198791,7.5,1.85,13000,75000,8500,4100,19000
Inside Out,English,Adventure|Animation|Comedy|Drama|Family|Fantasy,813,555,11593,Color,USA,1,PG,175000000,2015,95,417712,8.2,1.85,1900,122000,1400,1700,2500
Suicide Squad,English,Action|Adventure|Fantasy|Sci-Fi,1759,628,26968,Color,USA,9,PG-13,175000000,2016,123,395849,6.2,2.35,6700,106000,4700,536,10000
Monsters vs. Aliens,English,Action|Adventure|Animation|Comedy|Family|Sci-Fi,192,222,36405,Color,USA,2,PG,175000000,2009,94,121285,6.5,2.35,5100,2200,4800,11,5200
Up,English,Adventure|Animation|Comedy|Family,723,412,7513,Color,USA,1,PG,175000000,2009,96,723099,8.3,1.85,2400,28000,1000,1700,2400
G.I. Joe: The Rise of Cobra,English,Action|Adventure|Sci-Fi|Thriller,534,250,39696,Color,USA,4,PG-13,175000000,2009,118,180212,5.8,2.35,2400,6300,2300,211,23000
The Mummy: Tomb of the Dragon Emperor,English,Action|Adventure|Fantasy|Horror|Thriller,506,265,14557,Color,USA,3,PG-13,145000000,2008,112,124700,5.2,2.35,3200,1700,1500,364,5000
Wild Wild West,English,Action|Comedy|Sci-Fi|Western,652,85,26755,Color,USA,2,PG-13,170000000,1999,106,134367,4.8,1.85,4800,2200,4200,196,10000
Evan Almighty,English,Comedy|Family|Fantasy,259,184,117822,Color,USA,0,PG,175000000,2007,96,119665,5.4,2.35,11000,2000,7000,304,87000
Waterworld,English,Action|Adventure|Sci-Fi|Thriller,316,94,5322,Color,USA,0,PG-13,175000000,1995,135,151075,6.1,1.85,717,5700,65,65,4300
47 Ronin,English,Action|Adventure|Drama|Fantasy,331,221,24989,Color,USA,1,PG-13,175000000,2013,119,123453,6.3,2.35,1500,36000,1500,48,19000
Time Traveller,English,Action|Adventure|Romance|Sci-Fi,19,10,5655,Color,Belgium,3,R,,2013,109,2525,4.5,,637,717,544,626,3600
Captain America: The Winter Soldier,English,Action|Adventure|Sci-Fi|Thriller,761,585,68177,Color,USA,1,PG-13,170000000,2014,136,543183,7.8,2.35,11000,55000,7500,98,19000
Guardians of the Galaxy,English,Action|Adventure|Sci-Fi,1137,670,63058,Color,USA,3,PG-13,170000000,2014,121,758941,8.1,2.35,14000,101000,8200,643,14000
Iron Man 2,English,Action|Adventure|Sci-Fi,741,457,78968,Color,USA,4,PG-13,200000000,2010,124,557294,7,2.35,19000,19000,7500,4100,21000
Dawn of the Planet of the Apes,English,Action|Adventure|Drama|Sci-Fi,626,524,22613,Color,USA,0,PG-13,170000000,2014,130,338102,7.6,1.85,3900,46000,2100,221,10000
Snow White and the Huntsman,English,Action|Adventure|Drama|Fantasy,715,420,77936,Color,USA,0,PG-13,170000000,2012,127,239946,6.1,2.35,17000,53000,11000,317,26000
The Polar Express,English,Adventure|Animation|Family|Fantasy|Musical,455,183,16301,Color,USA,0,G,165000000,2004,100,131600,6.6,2.35,743,12000,272,1400,15000
Terminator 3: Rise of the Machines,English,Action|Adventure|Sci-Fi|Thriller,1684,280,14824,Color,USA,0,R,200000000,2003,109,320344,6.4,2.35,3800,3700,1300,86,7900
Van Helsing,English,Action|Drama|Fantasy|Horror,85,5,1860,Color,USA,1,,,,60,6157,5.8,,703,2000,98,,907
Alice Through the Looking Glass,English,Adventure|Family|Fantasy,184,259,107737,Color,USA,1,PG,170000000,2016,113,57503,6.2,1.85,25000,33000,11000,36,40000
Shrek Forever After,English,Adventure|Animation|Comedy|Family|Fantasy,177,225,33616,Color,USA,3,PG,165000000,2010,93,147230,6.3,2.35,4900,6600,4000,44,5700
Doctor Strange,English,Action|Adventure|Fantasy|Sci-Fi,661,510,49546,Color,USA,1,PG-13,165000000,2016,115,296356,7.6,2.35,8300,67000,7100,319,19000
How to Train Your Dragon,English,Action|Adventure|Animation|Comedy|Family|Fantasy,507,292,39988,Color,USA,0,PG,165000000,2010,98,524550,8.1,2.35,5200,33000,3900,254,18000
Big Hero 6,English,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,448,394,18063,Color,USA,0,PG,165000000,2014,102,309632,7.8,2.39,3300,42000,2200,40,4700
Tomorrowland,English,Action|Adventure|Family|Mystery|Sci-Fi,519,452,25273,Color,USA,2,PG,190000000,2015,130,143295,6.5,2.2,5200,38000,2500,676,9500
Wreck-It Ralph,English,Adventure|Animation|Comedy|Family|Fantasy,353,378,24864,Color,USA,1,PG,165000000,2012,101,290872,7.8,2.35,4700,40000,3300,69,5000
Interstellar,English,Adventure|Drama|Sci-Fi,2866,732,42985,Color,USA,1,PG-13,165000000,2014,169,1049549,8.6,2.35,11000,354000,6000,22000,12000
Independence Day: Resurgence,English,Action|Adventure|Sci-Fi,721,339,27320,Color,USA,0,PG-13,165000000,2016,120,128229,5.3,2.35,6700,75000,6000,788,7300
Cowboys and Aliens,,Sci-Fi,,,195,,,,,,,,,,,4,0,3,3,188
Beauty and the Beast,English,Family|Fantasy|Musical|Romance,667,440,41085,Color,USA,7,PG,160000000,2017,129,116635,7.6,2.35,6400,73000,6300,438,9200
Shrek the Third,English,Adventure|Animation|Comedy|Family|Fantasy,327,225,31357,Color,USA,1,PG,160000000,2007,93,224888,6.1,1.85,4900,1300,3700,50,5700
Inception,English,Action|Adventure|Sci-Fi|Thriller,2895,658,118641,Color,USA,0,PG-13,160000000,2010,148,1585436,8.8,2.35,27000,175000,23000,22000,29000
The Hunger Games: Mockingjay - Part 2,English,Action|Adventure|Sci-Fi|Thriller,405,411,125755,Color,USA,1,PG-13,160000000,2015,137,202852,6.6,2.35,22000,39000,14000,508,34000
Fast and Furious 6: The Game,English,Action,,,0,Color,Canada,0,,,2013,,24,5.5,,,0,,0,
X-Men: First Class,English,Action|Adventure|Sci-Fi,707,507,82933,Color,USA,3,PG-13,160000000,2011,132,550562,7.8,2.35,13000,54000,9700,910,34000
Shin Godzilla,Japanese,Action|Adventure|Drama|Horror|Sci-Fi,85,118,55,Color,Japan,0,Not Rated,,2016,120,8502,6.9,2.35,11,7100,5,31,24
The Curious Case of Benjamin Button,English,Drama|Fantasy|Romance,840,365,26659,Color,USA,2,PG-13,150000000,2008,166,485499,7.8,2.35,6200,24000,2400,21000,12000
The Sorcerer's Apprentice,English,Action|Adventure|Family|Fantasy,240,237,32535,Color,USA,0,PG,150000000,2010,109,130788,6.1,2.35,6500,11000,4100,230,13000
Deepwater Horizon,English,Action|Drama|Thriller,205,279,29158,Color,Hong Kong,0,PG-13,110000000,2016,107,90673,7.2,2.35,8800,22000,3600,604,8900
Poseidon,English,Action|Adventure|Drama|Thriller,630,230,103718,Color,USA,0,PG-13,160000000,2006,98,85130,5.6,2.35,3600,1800,3500,257,87000
Warcraft: The Beginning,English,Action|Adventure|Fantasy,876,338,21048,Color,China,0,PG-13,160000000,2016,123,188129,7,2.35,3400,96000,3200,1200,3400
The Chronicles of Narnia: The Voyage of the Dawn Treader,English,Adventure|Family|Fantasy,231,225,15033,Color,USA,5,PG,155000000,2010,113,113624,6.3,1.78,3200,11000,1900,157,3800
Terminator Genisys,English,Action|Adventure|Sci-Fi,889,488,53623,Color,USA,2,PG-13,155000000,2015,126,205653,6.5,2.35,10000,82000,7900,230,24000
Pearl Harbor,English,Action|Drama|History|Romance|War,2003,192,35400, Black and White,USA,0,PG-13,140000000,2001,183,267546,6.1,2.35,6800,8700,3900,2200,7600
Alexander,English,Action|Adventure|Biography|Drama|History|Romance|War,1401,245,30660,Color,Germany,3,R,155000000,2004,175,144132,5.5,2.35,11000,3700,3600,2200,12000
Transformers,English,Action|Adventure|Sci-Fi,1791,399,34210,Color,USA,0,PG-13,150000000,2007,144,531460,7.1,2.35,7500,8200,6800,2200,7500
Zootopia,English,Adventure|Animation|Comedy|Crime|Family|Mystery,521,434,51148,Color,USA,0,PG,150000000,2016,108,298180,8.1,2.35,8500,50000,4700,61,24000
Frozen,English,Adventure|Animation|Comedy|Family|Fantasy|Musical,944,422,16735,Color,USA,0,PG,150000000,2013,102,452434,7.5,2.35,4200,59000,1500,69,4700
Harry Potter and the Goblet of Fire,English,Adventure|Family|Fantasy|Mystery,1906,300,67737,Color,UK,1,PG-13,150000000,2005,157,417730,7.7,2.35,11000,6000,10000,183,21000
Harry Potter and the Order of the Phoenix,English,Adventure|Family|Fantasy|Mystery,1116,338,46931,Color,UK,3,PG-13,150000000,2007,138,385764,7.5,2.35,11000,5100,8700,316,21000
The Matrix Reloaded,English,Action|Sci-Fi,2795,273,7047,Color,USA,0,R,150000000,2003,138,439969,7.2,2.35,234,4800,206,1100,6500
I Am Legend,English,Drama|Horror|Sci-Fi|Thriller,1429,327,13200,Color,USA,1,PG-13,150000000,2007,101,566311,7.2,2.35,1100,11000,552,508,10000
Moana,English,Adventure|Animation|Comedy|Family|Fantasy|Musical,296,340,20908,Color,USA,0,PG,150000000,2016,107,119904,7.7,2.35,4700,29000,1900,90,13000
Charlie and the Chocolate Factory,English,Adventure|Comedy|Family|Fantasy,1368,276,76705,Color,USA,3,PG,150000000,2005,115,342751,6.7,1.85,16000,8100,7700,13000,40000
Hancock,English,Action|Crime|Drama|Fantasy,593,322,30751,Color,USA,0,PG-13,150000000,2008,92,366497,6.4,2.35,9100,6000,4100,604,10000
Thor: The Dark World,English,Action|Adventure|Fantasy|Sci-Fi,545,490,97460,Color,USA,4,PG-13,170000000,2013,112,444118,7,2.35,20000,64000,12000,230,26000
Ratatouille,English,Animation|Comedy|Family|Fantasy,634,322,12794,Color,USA,0,G,150000000,2007,111,504560,8,2.35,1300,11000,1200,676,4100
Nhiem Vu Bat Kha Thi: Quoc Gia Bi An,English,Action|Adventure|Thriller,457,478,32777,Color,China,5,PG-13,150000000,2015,131,257786,7.4,2.35,10000,48000,4400,192,11000
Batman Begins,English,Action|Adventure,2700,475,81007,Color,USA,0,PG-13,150000000,2005,140,1049567,8.3,2.35,14000,15000,11000,22000,23000
Thor,English,Action|Adventure|Fantasy|Sci-Fi,749,523,94701,Color,USA,2,PG-13,150000000,2011,115,571450,7,2.35,20000,64000,12000,4800,26000
X-Men Origins: Wolverine,English,Action|Adventure|Sci-Fi|Thriller,656,358,54111,Color,USA,0,PG-13,150000000,2009,107,388905,6.7,2.35,16000,8200,5600,163,20000
Madagascar: Escape 2 Africa,English,Action|Adventure|Animation|Comedy|Family,125,166,18365,Color,USA,1,PG,150000000,2008,89,157371,6.7,1.85,3500,1900,2400,39,5900
Night at the Museum: Battle of the Smithsonian,English,Adventure|Comedy|Family|Fantasy,212,183,77005,Color,USA,2,PG,150000000,2009,105,139999,5.9,2.35,9800,2100,3500,206,49000
Kung Fu Panda 2,English,Action|Adventure|Animation|Comedy|Family,211,286,66217,Color,USA,0,PG,150000000,2011,90,197669,7.3,2.35,10000,19000,9600,91,11000
Mad Max: Fury Road,English,Action|Adventure|Sci-Fi|Thriller,1657,774,54511,Color,Australia,0,R,150000000,2015,120,634073,8.1,2.35,9100,193000,7600,774,27000
The Matrix Revolutions,English,Action|Sci-Fi,2130,245,10962,Color,Australia,0,R,150000000,2003,129,381282,6.7,2.35,2600,3600,848,1100,6500
Angels & Demons,English,Mystery|Thriller,454,308,28544,Color,USA,1,PG-13,150000000,2009,138,227870,6.7,2.35,6400,7200,3300,2300,15000
Mission: Impossible III,English,Action|Adventure|Thriller,874,307,62413,Color,USA,0,PG-13,150000000,2006,126,270645,6.9,2.35,11000,3400,9700,14000,22000
Troy,English,Adventure,1711,221,30062,Color,USA,2,R,175000000,2004,163,405387,7.2,2.35,5000,9300,4400,257,12000
The Last Airbender,English,Action|Adventure|Family|Fantasy,1405,281,11224,Color,USA,0,PG,150000000,2010,103,125232,4.2,2.35,1700,18000,1600,3100,3700
G-Force,English,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,90,143,16092,Color,USA,0,PG,150000000,2009,88,34779,5.1,2.35,4800,2200,1200,13,7700
Bee Movie,English,Adventure|Animation|Comedy|Family,232,195,21955,Color,USA,0,PG,150000000,2007,91,112853,6.1,1.85,2800,2300,2800,64,3300
Wrath of the Titans,English,Action|Adventure|Fantasy,254,310,40732,Color,Spain,0,PG-13,150000000,2012,99,159339,5.8,2.35,8700,19000,5300,476,14000
Bolt,English,Adventure|Animation|Comedy|Drama|Family,180,226,34190,Color,USA,0,PG,150000000,2008,96,155068,6.9,1.85,4600,4300,4500,61,17000
Beowulf,English,Action|Adventure|Animation|Fantasy,508,286,40339,Color,USA,1,PG-13,150000000,2007,115,146638,6.2,2.35,12000,3200,8800,1400,18000
White House Down,English,Action|Drama|Thriller,443,344,38494,Color,USA,2,PG-13,150000000,2013,131,173464,6.4,2.35,5900,33000,2900,788,17000
Dark Shadows,English,Comedy|Fantasy|Horror,483,527,97637,Color,USA,7,PG-13,150000000,2012,113,209536,6.2,1.85,17000,82000,16000,13000,40000
The Wolfman,English,Drama|Fantasy|Horror|Thriller,439,361,26004,Color,USA,0,R,150000000,2010,103,92205,5.8,1.85,5700,7700,3700,404,12000
The Great Wall,English,Action|Adventure|Fantasy|Thriller,304,265,21264,Color,USA,1,PG-13,150000000,2016,103,59030,6.1,2.35,3900,14000,1600,641,14000
Pan,English,Adventure|Family|Fantasy,198,262,41840,Color,USA,4,PG,150000000,2015,111,47932,5.8,2.35,9900,24000,5600,455,20000
Mars Needs Moms,English,Adventure|Animation|Family|Sci-Fi,115,130,6430,Color,USA,0,PG,150000000,2011,88,18306,5.4,2.35,1500,3100,937,27,2000
Madagascar 3: Europe's Most Wanted,English,Adventure|Animation|Comedy|Family,158,210,30074,Color,USA,0,PG,145000000,2012,93,127238,6.9,1.85,5900,17000,5400,39,7100
Flushed Away,English,Adventure|Animation|Comedy|Family,124,136,54129,Color,UK,0,PG,149000000,2006,85,90290,6.6,1.85,14000,1600,6300,43,20000
Mission: Impossible - Ghost Protocol,English,Action|Adventure|Thriller,515,436,35409,Color,USA,3,PG-13,145000000,2011,132,382718,7.4,2.35,10000,34000,4400,676,11000
How to Train Your Dragon 2,English,Action|Adventure|Animation|Comedy|Family|Fantasy,349,296,48410,Color,USA,6,PG,145000000,2014,102,237855,7.9,2.35,6200,46000,4500,254,18000
The Legend of Tarzan,English,Action|Adventure|Drama|Romance,404,298,34408,Color,UK,2,PG-13,180000000,2016,110,118449,6.3,2.35,11000,38000,7500,316,11000
